circle,division,subdivision,section,area,catdesc,catcode,totservices,billdservices,units,load
SANGAREDDY,JOGIPET,JOGIPET,ANDOLE,POTHIREDDIPALLY,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,7,6.0,3745.0,11.02
SANGAREDDY,JOGIPET,JOGIPET,ANDOLE,RAMSANPALLY,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,8,7.0,2774.0,9.26
SANGAREDDY,JOGIPET,JOGIPET,ANDOLE,ROLLAPAD,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,3,3.0,1255.0,2.76
SANGAREDDY,JOGIPET,JOGIPET,ANDOLE,SAIBANPET,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,4,4.0,1087.0,3.26
SANGAREDDY,JOGIPET,JOGIPET,ANDOLE,SANGUPET,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,4,4.0,520.0,5.27
SANGAREDDY,JOGIPET,JOGIPET,ANDOLE,SERIMALLAREDDYPALLY,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,3,2.0,600.0,2.26
SANGAREDDY,JOGIPET,JOGIPET,ANDOLE,TADMANOOR,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,11,10.0,763.0,17.51
SANGAREDDY,JOGIPET,JOGIPET,ANDOLE,TALELMA,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,16,15.0,1864.0,34.76
SANGAREDDY,JOGIPET,JOGIPET,ANDOLE,YERRARAM,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,8,8.0,943.0,11.51
SANGAREDDY,JOGIPET,JOGIPET,CHOUTAKUR,ANGADIPET,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,7,5.0,1417.0,13.26
SANGAREDDY,JOGIPET,JOGIPET,CHOUTAKUR,BADRIGUDAM,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,6,4.0,879.0,7.26
SANGAREDDY,JOGIPET,JOGIPET,HATHNOORA,PANYAL,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,11,5.0,984.0,14.75
SANGAREDDY,JOGIPET,JOGIPET,HATHNOORA,RAINDLAGUDA,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,5,3.0,495.0,7.75
SANGAREDDY,JOGIPET,JOGIPET,HATHNOORA,REDDYKHANAPUR,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,10,9.0,1124.0,17.75
SANGAREDDY,JOGIPET,JOGIPET,HATHNOORA,REDDYPALEM,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,5,2.0,368.0,7.75
SANGAREDDY,JOGIPET,JOGIPET,HATHNOORA,ROYYA PALLY,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,6,6.0,3390.0,8.13
SANGAREDDY,JOGIPET,JOGIPET,HATHNOORA,SADULANAGAR,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,12,12.0,1588.0,15.5
